minute,time,heart_rate_bpm,spo2_pct,skin_temp_c,ambient_temp_c,humidity_pct,wbgt_c,pm25_ugm3,activity_index,sleep_stage,hrv_ms,resp_rate_bpm,steps,noise_db,lat,lon
1045,17:25,130.3,98.5,35.65,40.0,33.8,36.5,80.4,0.625,Awake,43.3,20.5,75,61.4,12.9647,79.1609
1050,17:30,120.6,97.1,35.38,38.6,33.3,34.7,89.6,0.56,Awake,50.8,20.4,65,59.7,12.96476,79.16105
1055,17:35,127.0,96.2,35.23,38.2,36.0,35.0,94.4,0.62,Awake,49.2,19.6,68,58.5,12.96475,79.16094
1060,17:40,124.8,96.9,35.43,38.4,36.9,34.5,76.5,0.61,Awake,46.6,20.9,74,61.9,12.96475,79.161
1065,17:45,130.7,97.7,35.43,39.3,34.3,35.7,75.3,0.627,Awake,49.0,19.5,76,60.4,12.9648,79.16098
1070,17:50,122.3,97.0,35.36,38.9,31.4,35.6,66.6,0.622,Awake,46.1,19.2,60,61.5,12.96481,79.16099
1075,17:55,129.0,97.2,35.25,38.3,32.6,35.0,73.0,0.637,Awake,44.9,19.4,73,55.4,12.96485,79.16107
1080,18:00,126.7,96.8,35.11,38.3,32.3,35.0,65.3,0.619,Awake,43.8,19.8,68,57.9,12.965,79.16153
1085,18:05,131.3,97.2,35.42,38.1,35.2,34.9,66.3,0.674,Awake,43.4,20.8,80,62.7,12.96508,79.16154
1090,18:10,123.6,96.8,35.21,38.4,38.6,34.8,83.0,0.592,Awake,39.0,20.3,70,56.3,12.96514,79.1615
1095,18:15,131.8,97.8,35.39,38.4,35.8,35.1,80.7,0.643,Awake,44.9,20.2,74,60.4,12.96499,79.16144
1100,18:20,126.2,97.6,35.64,37.9,33.9,34.5,67.0,0.592,Awake,47.8,19.2,62,62.5,12.96514,79.1615
1105,18:25,131.1,96.4,35.64,38.6,34.3,34.8,95.9,0.709,Awake,42.3,20.8,76,61.0,12.96513,79.16147
1110,18:30,118.4,96.2,34.96,37.8,36.9,34.1,88.8,0.557,Awake,43.9,19.8,62,57.4,12.96507,79.16153
1115,18:35,129.0,97.1,35.2,37.4,38.3,33.9,76.4,0.636,Awake,47.7,18.7,78,57.0,12.96507,79.16154
1120,18:40,124.6,96.7,34.85,38.1,35.2,34.2,78.9,0.586,Awake,46.1,20.2,70,58.6,12.9651,79.16145
1125,18:45,123.6,97.2,35.05,37.7,33.1,34.2,79.7,0.586,Awake,43.8,19.1,63,62.3,12.96503,79.16133
1130,18:50,123.6,98.0,34.98,36.9,37.8,33.8,86.1,0.578,Awake,53.3,19.7,64,54.5,12.96514,79.16144
1135,18:55,128.3,97.2,34.95,36.2,37.4,33.2,105.6,0.607,Awake,45.3,19.6,65,61.0,12.9651,79.16142
1140,19:00,124.5,97.1,35.08,37.7,34.8,34.3,63.2,0.584,Awake,42.9,19.3,56,59.7,12.96513,79.16148
1145,19:05,135.4,97.5,35.25,38.1,35.1,34.1,69.3,0.68,Awake,39.8,20.5,88,63.4,12.96506,79.16146
1150,19:10,110.7,96.8,35.06,35.8,39.0,32.2,81.0,0.478,Awake,48.9,18.1,54,60.1,12.96489,79.16149
1155,19:15,129.1,97.7,35.25,37.6,32.8,34.2,81.6,0.63,Awake,40.7,19.9,67,63.4,12.96509,79.16159
1160,19:20,126.1,96.9,35.15,37.1,33.6,34.0,77.3,0.602,Awake,48.4,20.0,70,60.5,12.96513,79.16146
1165,19:25,126.2,96.6,35.02,37.4,35.7,33.6,85.8,0.633,Awake,49.3,19.1,70,63.7,12.96512,79.16165
1170,19:30,118.0,97.4,35.06,37.0,38.9,33.2,75.0,0.532,Awake,53.8,18.9,62,55.4,12.96509,79.16139
1175,19:35,119.1,97.3,34.68,36.3,39.2,32.7,80.5,0.537,Awake,50.7,19.4,64,62.2,12.965,79.16143
1180,19:40,118.4,96.3,34.8,35.7,43.0,32.1,77.4,0.54,Awake,57.7,18.3,65,64.4,12.96497,79.16154
1185,19:45,128.0,97.1,35.18,34.9,40.1,31.8,68.3,0.61,Awake,47.7,19.4,66,62.3,12.9652,79.1615
1190,19:50,113.6,96.8,34.71,35.5,37.6,31.8,75.1,0.502,Awake,47.5,18.3,59,59.3,12.96513,79.16138
1195,19:55,133.1,96.2,35.0,36.1,40.6,32.8,68.0,0.684,Awake,41.4,19.9,78,56.9,12.96508,79.16151
1200,20:00,119.4,96.6,34.99,35.9,37.2,32.5,77.0,0.529,Awake,43.8,18.0,64,55.7,12.96452,79.16054
1205,20:05,120.0,96.5,34.9,36.1,37.5,32.5,81.3,0.531,Awake,48.3,18.6,53,58.2,12.96447,79.16066
1210,20:10,115.7,97.5,34.69,36.2,35.1,32.1,75.6,0.499,Awake,47.6,18.8,53,59.6,12.9645,79.16059
1215,20:15,115.2,96.6,34.55,34.7,41.0,31.4,83.4,0.471,Awake,50.4,18.6,51,57.3,12.96446,79.16068
1220,20:20,118.1,97.5,34.77,35.4,38.3,31.9,56.5,0.528,Awake,47.9,18.2,58,63.3,12.96458,79.16079
1225,20:25,119.0,96.8,34.67,34.0,38.9,31.0,78.5,0.567,Awake,48.2,18.5,73,54.7,12.96455,79.16059
1230,20:30,119.2,96.7,34.8,34.7,38.8,31.4,60.5,0.526,Awake,50.9,19.3,52,54.6,12.96439,79.16064
1235,20:35,123.6,97.8,34.84,34.5,39.8,31.0,72.2,0.598,Awake,50.3,18.9,77,63.7,12.96448,79.16057
1240,20:40,125.0,96.3,34.94,35.2,41.4,31.1,63.5,0.597,Awake,51.3,18.7,70,65.0,12.96446,79.16063
1245,20:45,114.0,98.0,34.75,34.5,39.3,31.1,76.1,0.494,Awake,52.1,18.0,66,55.5,12.96448,79.16058
1250,20:50,125.1,97.1,34.44,33.9,44.2,30.2,70.8,0.605,Awake,51.0,19.2,69,62.3,12.96447,79.16068
1255,20:55,123.1,97.5,34.7,33.9,42.5,31.0,77.5,0.601,Awake,47.6,20.7,75,56.6,12.96456,79.16064
1260,21:00,125.5,96.1,34.93,33.8,43.2,30.2,73.3,0.619,Awake,46.2,18.9,67,62.7,12.96466,79.16036
1265,21:05,122.4,97.3,34.61,33.4,41.7,30.0,61.3,0.594,Awake,50.4,19.5,70,61.3,12.96541,79.1597
1270,21:10,123.9,97.6,34.6,33.6,44.5,30.1,68.2,0.575,Awake,49.9,17.9,60,60.5,12.96601,79.15857
1275,21:15,115.9,96.4,34.38,33.1,43.0,29.4,52.3,0.487,Awake,46.8,17.7,62,60.2,12.96666,79.15734
1280,21:20,124.2,96.6,34.63,33.7,42.5,30.0,56.9,0.558,Awake,50.7,18.9,69,59.0,12.96733,79.15596
1285,21:25,125.9,96.4,34.47,33.0,36.4,30.0,64.7,0.585,Awake,48.1,18.0,71,58.6,12.96817,79.15453
1290,21:30,120.1,96.5,34.64,33.1,41.3,29.7,62.0,0.526,Awake,53.1,18.1,68,57.3,12.96885,79.15315
1295,21:35,111.6,96.3,34.05,32.1,45.7,29.0,76.8,0.47,Awake,49.0,17.8,56,57.0,12.96944,79.15195
1300,21:40,120.6,97.3,34.18,32.6,44.3,29.4,73.2,0.536,Awake,55.8,16.7,67,58.5,12.96999,79.15093
1305,21:45,113.5,97.3,34.46,34.4,39.8,30.4,39.2,0.525,Awake,56.8,18.0,58,55.2,12.97035,79.15025
1310,21:50,113.6,97.2,34.32,32.8,44.8,28.9,64.7,0.49,Awake,51.3,18.2,51,56.2,12.97051,79.15007
1315,21:55,120.7,96.6,34.58,32.5,42.0,29.3,48.2,0.526,Awake,53.7,17.5,65,58.0,12.97057,79.14982
1320,22:00,118.1,97.5,34.66,32.6,46.2,28.8,69.9,0.528,Awake,55.1,19.2,61,59.6,12.97049,79.15002
1325,22:05,115.8,97.6,34.04,31.1,44.3,27.8,52.6,0.496,Awake,49.9,16.7,55,59.7,12.97035,79.15009
1330,22:10,111.5,96.7,34.31,31.9,43.9,28.8,64.7,0.45,Awake,52.2,19.1,58,53.1,12.97053,79.15003
1335,22:15,124.0,97.3,34.4,32.3,45.8,28.6,70.3,0.541,Awake,58.9,17.5,64,58.6,12.97043,79.14995
1340,22:20,125.0,95.7,34.19,32.4,43.2,28.5,74.0,0.56,Awake,51.4,17.4,64,61.3,12.97046,79.14995
1345,22:25,115.4,96.7,34.36,31.9,44.3,28.0,67.3,0.517,Awake,48.6,18.4,66,57.4,12.97047,79.15002
1350,22:30,127.9,96.6,34.28,31.6,41.0,27.9,52.7,0.588,Awake,44.6,19.6,70,59.7,12.97051,79.1499
1355,22:35,119.1,96.3,34.29,31.7,45.7,28.6,66.8,0.541,Awake,56.0,17.8,67,60.4,12.97054,79.15006
1360,22:40,123.5,97.0,34.04,29.5,48.5,26.0,57.2,0.608,Awake,49.2,19.8,68,61.2,12.97056,79.14995
1365,22:45,124.4,98.1,34.15,30.2,44.7,26.6,59.4,0.607,Awake,52.7,18.8,72,63.8,12.97052,79.15006
1370,22:50,119.0,97.6,34.06,31.2,44.7,27.9,68.7,0.536,Awake,52.7,19.8,58,54.4,12.97048,79.1501
1375,22:55,121.9,96.4,34.26,31.6,44.4,28.1,61.4,0.562,Awake,47.5,18.5,64,66.0,12.97053,79.15002
1380,23:00,122.3,96.0,33.88,29.7,46.5,26.6,53.3,0.553,Awake,49.7,18.7,67,57.9,12.97038,79.14985
1385,23:05,116.3,96.9,34.15,30.7,42.6,27.3,74.1,0.529,Awake,48.1,18.4,61,56.5,12.97045,79.15005
1390,23:10,116.4,98.0,34.37,30.0,46.9,27.2,54.7,0.56,Awake,51.6,17.8,58,59.9,12.97049,79.14987
1395,23:15,115.3,97.4,34.11,30.8,44.8,27.0,62.0,0.522,Awake,51.5,18.6,53,55.0,12.97057,79.14994
1400,23:20,116.5,97.1,34.17,29.9,48.5,26.5,48.4,0.541,Awake,56.9,18.1,61,57.8,12.97053,79.14997
1405,23:25,103.8,98.6,34.06,30.6,47.7,27.1,59.9,0.408,Awake,52.4,16.9,55,59.4,12.9705,79.15003
1410,23:30,123.0,97.3,33.83,29.5,47.6,26.1,55.9,0.553,Awake,49.5,17.6,64,60.7,12.97063,79.15002
1415,23:35,118.7,96.6,34.02,29.3,48.4,25.7,65.4,0.541,Awake,49.2,17.9,72,58.2,12.9705,79.15005
1420,23:40,117.1,97.6,34.03,30.5,50.6,26.7,55.3,0.548,Awake,51.3,19.6,63,61.5,12.97051,79.14995
1425,23:45,122.6,97.2,33.96,31.2,46.8,27.5,64.8,0.559,Awake,49.2,18.9,68,58.0,12.97053,79.15008
1430,23:50,120.1,95.9,34.12,30.9,45.2,27.3,60.7,0.53,Awake,52.5,17.9,61,60.7,12.97051,79.14996
1435,23:55,116.1,96.8,34.19,30.4,45.9,27.3,52.1,0.585,Awake,51.7,19.3,70,60.5,12.97053,79.15008
