minute,time,heart_rate_bpm,spo2_pct,skin_temp_c,ambient_temp_c,humidity_pct,wbgt_c,pm25_ugm3,activity_index,sleep_stage,hrv_ms,resp_rate_bpm,steps,noise_db,lat,lon
1045,17:25,87.3,98.7,33.9,32.5,52.9,29.5,28.8,0.145,Awake,57.6,14.4,20,50.4,12.96918,79.15598
1050,17:30,77.9,97.4,33.74,31.7,54.4,28.7,27.9,0.1,Awake,57.6,13.8,24,50.8,12.96915,79.15587
1055,17:35,81.7,97.3,33.76,32.1,56.1,29.0,28.2,0.092,Awake,59.1,14.0,22,55.0,12.96916,79.15593
1060,17:40,74.3,97.2,33.61,31.9,54.8,28.6,29.7,0.089,Awake,66.1,13.9,15,52.0,12.96926,79.15595
1065,17:45,76.7,97.8,33.53,30.6,55.4,27.5,31.3,0.085,Awake,66.5,14.1,21,53.0,12.96928,79.15584
1070,17:50,95.0,97.2,33.96,31.5,56.4,28.5,33.1,0.293,Awake,57.4,16.2,34,59.4,12.96928,79.15589
1075,17:55,88.4,96.7,33.79,31.4,54.5,28.3,26.6,0.194,Awake,57.5,15.6,19,53.4,12.96922,79.15587
1080,18:00,77.4,97.5,33.73,31.8,58.1,28.7,35.3,0.082,Awake,59.5,14.4,19,48.6,12.96941,79.15624
1085,18:05,83.8,97.8,33.77,30.9,56.8,28.4,30.0,0.129,Awake,55.3,14.5,28,52.4,12.96944,79.15619
1090,18:10,92.5,97.8,34.02,31.9,54.5,28.6,31.8,0.234,Awake,62.4,15.8,30,50.5,12.96939,79.15616
1095,18:15,85.7,98.4,34.05,31.6,53.9,28.5,35.0,0.18,Awake,65.4,15.5,19,54.6,12.9694,79.15616
1100,18:20,91.9,96.9,33.45,30.7,53.8,27.9,24.8,0.216,Awake,61.7,14.3,29,59.0,12.96944,79.15611
1105,18:25,92.1,96.7,33.95,31.5,56.2,28.2,28.8,0.259,Awake,50.0,15.8,27,53.8,12.9695,79.15619
1110,18:30,91.4,99.3,34.36,31.5,51.5,28.2,30.0,0.26,Awake,57.4,16.3,41,58.8,12.96936,79.15615
1115,18:35,106.6,98.3,33.73,31.6,56.7,28.5,21.7,0.393,Awake,54.4,16.6,57,53.7,12.96946,79.15615
1120,18:40,104.9,97.4,34.05,30.9,55.5,28.1,33.2,0.4,Awake,53.4,16.5,47,57.9,12.96934,79.15605
1125,18:45,109.5,98.4,34.01,32.2,52.2,28.6,30.0,0.442,Awake,52.7,17.0,46,53.3,12.96945,79.15617
1130,18:50,112.9,98.2,33.93,31.8,50.6,28.3,27.3,0.463,Awake,55.4,17.5,58,59.8,12.96948,79.15616
1135,18:55,110.2,98.1,34.16,31.5,54.3,28.8,26.0,0.425,Awake,50.1,17.5,52,57.5,12.96951,79.156
1140,19:00,104.3,97.4,33.92,31.2,58.2,28.1,33.7,0.373,Awake,54.4,16.5,35,58.3,12.96923,79.15514
1145,19:05,114.6,97.5,34.06,30.9,57.1,28.5,35.2,0.501,Awake,52.2,17.8,52,54.4,12.96951,79.15435
1150,19:10,103.2,97.6,33.88,31.6,55.7,28.6,30.5,0.367,Awake,56.3,16.6,52,59.0,12.96965,79.15332
1155,19:15,108.5,98.2,34.3,31.2,53.9,28.6,23.0,0.413,Awake,52.0,17.1,57,55.9,12.97006,79.15244
1160,19:20,108.2,97.1,34.33,31.5,54.5,28.3,23.5,0.363,Awake,61.0,16.9,48,55.1,12.97022,79.15137
1165,19:25,99.2,97.4,33.99,31.9,54.0,28.4,35.0,0.324,Awake,54.7,17.1,39,55.1,12.9704,79.15061
1170,19:30,88.7,98.2,33.97,31.6,55.6,28.2,29.4,0.19,Awake,62.7,15.4,35,56.3,12.97047,79.15021
1175,19:35,98.8,98.4,33.65,30.8,51.3,27.6,34.7,0.318,Awake,56.4,16.2,33,58.4,12.97044,79.15005
1180,19:40,96.0,97.9,33.82,30.0,51.7,27.4,35.9,0.317,Awake,56.9,15.7,33,53.4,12.97052,79.14992
1185,19:45,82.9,96.7,33.6,30.7,56.3,27.5,25.2,0.126,Awake,61.9,16.3,21,54.2,12.9705,79.15
1190,19:50,86.1,97.2,33.48,30.6,56.3,27.9,34.7,0.159,Awake,62.9,15.0,25,52.5,12.97047,79.14988
1195,19:55,85.0,96.7,33.36,29.4,55.6,26.9,23.4,0.157,Awake,57.3,15.6,25,51.1,12.97054,79.14999
1200,20:00,87.3,96.3,33.69,30.1,55.6,27.3,29.1,0.128,Awake,56.6,14.9,17,51.0,12.97049,79.14996
1205,20:05,88.8,96.9,33.67,30.8,54.2,27.6,35.0,0.167,Awake,59.7,14.8,17,53.2,12.97058,79.15007
1210,20:10,74.2,98.3,33.52,31.0,54.6,27.9,22.3,0.058,Awake,56.7,13.5,8,48.2,12.97058,79.15003
1215,20:15,88.8,97.5,33.85,30.6,57.5,27.5,23.4,0.172,Awake,55.4,14.3,27,56.4,12.9706,79.14991
1220,20:20,90.1,96.5,33.54,30.0,58.4,27.1,32.9,0.186,Awake,61.4,15.3,20,56.1,12.97042,79.14991
1225,20:25,81.5,98.1,33.58,30.4,59.0,27.0,27.9,0.098,Awake,57.1,13.5,18,50.4,12.97058,79.14994
1230,20:30,75.0,97.4,33.55,29.8,58.1,27.0,26.0,0.112,Awake,64.0,13.6,16,57.1,12.97052,79.14999
1235,20:35,90.1,98.0,33.94,30.5,54.6,27.1,19.8,0.178,Awake,59.3,15.5,20,56.4,12.9706,79.15012
1240,20:40,80.0,97.6,33.5,29.6,57.1,26.6,33.0,0.104,Awake,58.3,14.7,14,57.5,12.97045,79.15002
1245,20:45,93.6,97.1,33.27,28.7,58.7,26.5,25.5,0.199,Awake,54.8,14.9,26,50.7,12.97051,79.15005
1250,20:50,84.2,98.4,33.49,29.8,57.9,26.6,27.5,0.165,Awake,58.8,15.2,29,51.8,12.97052,79.15
1255,20:55,85.9,97.3,33.28,28.4,55.8,25.7,29.6,0.169,Awake,56.4,14.5,21,54.7,12.97051,79.15
1260,21:00,85.0,96.7,33.45,29.4,58.5,26.4,26.7,0.119,Awake,58.9,14.4,24,54.2,12.97065,79.15001
1265,21:05,83.5,97.9,33.62,29.6,55.9,26.1,31.5,0.132,Awake,66.5,13.9,15,54.6,12.97046,79.15001
1270,21:10,92.8,98.0,33.77,29.9,56.0,27.0,18.2,0.264,Awake,55.8,15.5,32,53.7,12.97057,79.14998
1275,21:15,81.4,98.3,33.31,29.0,54.7,25.8,32.9,0.136,Awake,57.3,15.6,26,53.7,12.97048,79.14982
1280,21:20,79.2,97.0,33.32,28.4,58.0,25.9,22.2,0.089,Awake,57.9,13.3,14,52.8,12.97048,79.15002
1285,21:25,86.0,96.7,33.16,29.5,57.5,26.0,23.0,0.168,Awake,56.5,14.3,22,56.2,12.97059,79.1501
1290,21:30,83.0,98.3,33.22,28.1,55.5,26.2,29.6,0.128,Awake,66.0,14.0,26,54.3,12.97051,79.15013
1295,21:35,87.1,97.9,33.66,29.5,61.1,26.0,21.1,0.159,Awake,68.4,14.2,26,55.8,12.97054,79.14992
1300,21:40,88.7,96.6,33.42,29.1,50.9,25.9,22.0,0.186,Awake,61.2,14.8,28,50.3,12.97049,79.14998
1305,21:45,87.8,97.6,33.27,28.4,57.7,25.1,25.9,0.14,Awake,63.3,14.2,13,53.4,12.97055,79.15
1310,21:50,88.7,96.0,33.51,28.1,57.3,25.5,27.1,0.201,Awake,60.2,15.1,24,51.4,12.97066,79.14991
1315,21:55,79.9,97.6,33.28,29.1,59.4,25.7,23.6,0.084,Awake,57.3,13.2,15,46.4,12.97039,79.15002
1320,22:00,82.9,98.3,33.38,29.4,58.5,26.0,22.6,0.128,Awake,62.9,14.3,25,51.3,12.97049,79.14994
1325,22:05,83.6,96.1,33.46,28.4,58.6,25.3,24.2,0.14,Awake,58.7,14.5,20,51.7,12.97055,79.14986
1330,22:10,80.2,97.5,33.12,28.1,58.3,25.2,24.7,0.091,Awake,58.3,15.3,13,52.4,12.97046,79.14994
1335,22:15,81.3,96.6,33.62,28.2,58.5,25.5,26.0,0.159,Awake,63.3,14.9,17,52.0,12.97048,79.15007
1340,22:20,79.5,98.3,33.17,27.9,60.8,25.3,25.5,0.147,Awake,59.9,13.7,22,54.1,12.97046,79.14989
1345,22:25,82.7,97.8,33.56,28.7,51.7,25.4,27.7,0.142,Awake,58.8,14.7,18,57.0,12.9704,79.14997
1350,22:30,89.5,97.2,33.54,28.0,56.9,25.0,25.6,0.211,Awake,57.0,15.1,26,51.5,12.97053,79.15008
1355,22:35,87.8,98.0,33.21,28.4,57.9,24.9,19.4,0.142,Awake,59.3,14.4,21,50.2,12.97052,79.15002
1360,22:40,77.8,97.7,33.02,27.6,57.6,25.0,20.1,0.085,Awake,63.2,13.8,11,54.2,12.97054,79.15011
1365,22:45,83.9,98.0,33.26,28.6,59.0,25.4,19.8,0.163,Awake,57.9,14.3,18,53.1,12.97054,79.14998
1370,22:50,83.4,97.8,33.27,27.8,58.2,24.7,19.0,0.146,Awake,61.9,15.1,16,50.3,12.97047,79.1499
1375,22:55,83.4,97.5,33.21,28.0,61.4,25.5,18.7,0.108,Awake,64.4,14.1,23,49.4,12.97037,79.15
1380,23:00,83.5,98.0,33.25,27.1,61.5,24.0,20.6,0.125,Awake,66.9,14.8,21,51.4,12.97052,79.15006
1385,23:05,82.7,97.8,33.14,27.4,60.2,24.7,21.1,0.132,Awake,61.9,14.5,23,55.0,12.97046,79.14995
1390,23:10,91.1,97.0,33.21,27.7,56.5,24.3,30.1,0.174,Awake,54.7,15.5,18,54.5,12.97056,79.14995
1395,23:15,89.8,97.6,33.02,27.9,56.7,24.6,16.6,0.175,Awake,60.9,14.7,29,46.7,12.9706,79.15001
1400,23:20,80.0,96.2,33.15,27.7,58.2,25.0,26.1,0.123,Awake,58.0,13.8,16,50.7,12.97054,79.15007
1405,23:25,86.2,98.4,33.29,27.6,57.8,24.6,15.3,0.176,Awake,58.4,14.3,22,57.7,12.97052,79.15002
1410,23:30,86.6,97.9,33.16,28.0,57.7,25.0,19.7,0.155,Awake,60.4,14.5,24,54.5,12.97043,79.14992
1415,23:35,81.2,97.4,33.01,26.8,57.5,23.8,24.3,0.107,Awake,61.4,14.5,16,56.1,12.97048,79.15001
1420,23:40,83.5,98.0,33.42,27.2,57.2,24.5,16.3,0.154,Awake,65.6,14.1,32,55.6,12.97051,79.15006
1425,23:45,90.9,97.7,33.24,27.0,63.1,24.2,26.4,0.208,Awake,63.8,15.8,23,54.7,12.97049,79.15006
1430,23:50,85.4,97.3,32.74,26.8,63.1,23.9,24.0,0.143,Awake,59.8,14.1,29,56.4,12.97053,79.14994
1435,23:55,83.5,97.0,32.95,26.5,61.2,23.8,19.3,0.148,Awake,60.4,13.6,21,53.3,12.9706,79.15001
